n11939491,n13044778,n12057211,n02025239,n12985857,n02006656,n03841143,n03590841,n02342885,n03393912,n02110341,n02111129,n02391049,n12620546,n11879895,n04562935,n03733131,n01820546,n02071294,n01629819,n01614925,n02102177,n02013706,n01872401,n02123597,n04044716,n01860187,n02509815,n02116738,n04525305,n07730033,n02489166,n02966193,n04243546,n07714990,n03344393,n09288635,n04540053,n03417042,n04019541,n02328150,n02410509,n01622779,n02017213,n03673027,n02917067,n02965783,n01534433,n02130308,n02793495
n02606052,n01518878,n03888257,n02389026,n06359193,n04252225,n03272562,n03662601,n02777292,n02817516,n02107683,n04153751,n07742313,n04486054,n03733281,n01833805,n01817953,n01558993,n03956157,n01828970,n02276258,n07720875,n02109525,n03717622,n01818515,n02129604,n02279972,n02092339,n02007558,n04146614,n02134084,n01768244,n03788195,n03290653,n03857828,n01843065,n02086646,n02018795,n03930313,n03874293,n02643566,n01537544,n02281406,n01592084,n02112018,n02111889,n03218198,n03788365,n03924679,n02165456
n12267677,n02422106,n02417914,n04335435,n02701002,n07613480,n07754684,n02843684,n02002556,n03599486,n02727426,n02056570,n02105505,n02113978,n02259212,n02108551,n02277742,n02033041,n04254680,n02437312,n04346328,n02445715,n13037406,n02102973,n02280649,n02058221,n04458633,n02172182,n04252077,n01798484,n07697313,n02066245,n03026506,n01443537,n02951358,n03743016,n03388043,n07760859,n02090622,n03649909,n03544143,n02892201,n02782093,n02088632,n01440764,n03134739,n01770393,n01806567,n01855032,n02129165
n02128757,n02447366,n01531178,n02486410,n02492660,n02500267,n02510455,n02120079,n02281787,n12998815,n02132136,n02110958,n04310018,n03495258,n03721384,n03814906,n01795545,n04266014,n03240683,n04149813,n02028035,n12768682,n02687172,n04311174,n07768694,n03942813,n03991062,n02133161,n02096051,n02101556,n02346627,n03000684,n02117135,n02018207,n02115913,n01532829,n01824575,n01843383,n04251144,n03777568,n01582220,n02009912,n02093647,n03388549,n03207743,n01882714,n04065272,n03379051,n04418357,n02138441
n02110806,n02074367,n02051845,n01704323,n02398521,n01530575,n04311004,n03992509,n07715103,n01484850,n02102040,n01829413,n03891332,n03187595,n02454379,n04367480,n02128385,n02326432,n02480495,n04417672,n01728920,n03345487,n02190166,n07565083,n02037110,n02112137,n01632777,n01580077,n01981276,n01601694,n03095699,n02105641,n03404251,n02091467,n01950731,n02666196,n09256479,n03445777,n03444034,n04487081,n02165105,n04389033,n04613696,n07749582,n01955084,n07717410,n03769881,n03445924,n02860847,n01930112
n07714571,n01917289,n03447447,n01494475,n02077923,n01687978,n01796340,n02361337,n02437616,n01514859,n02114548,n02488702,n01735189,n04553703,n02096585,n02088238,n03792972,n01616318,n02787622,n04606251,n02002724,n02174001,n01669191,n02607072,n04111531,n03042490,n02690373,n04118538,n03457902,n02950826,n02692877,n04465501,n07802026,n03854065,n03447721,n02865351,n04409515,n02497673,n01910747,n04482393,n03947888,n03791053,n04326547,n01968897,n04147183,n03982430,n01986214,n04125021,n02105162,n01773157
n02101006,n03617480,n02494079,n02098286,n01560419,n02095889,n02980441,n02457408,n10565667,n03208938,n03384352,n02112350,n01644373,n07695742,n07831146,n03697007,n02794156,n02104365,n01819313,n01944390,n01806143,n02111277,n04554684,n03127747,n03884397,n09229709,n07753113,n07745940,n02317335,n04532670,n13040303,n01774750,n02484975,n03018349,n03710193,n02415577,n02011460,n02125311,n02177972,n06785654,n04515003,n02095314,n02264363,n02123394,n03325584,n02356798,n01847000,n02814860,n02802426,n01797886
n03976467,n04399382,n02422699,n09468604,n03160309,n02480855,n02977058,n03792782,n02086079,n02101388,n04179913,n07753275,n06874185,n03496892,n04049303,n03598930,n01632458,n04118776,n07747607,n04273569,n03337140,n02699494,n02364673,n13052670,n03775546,n03627232,n03535780,n07716906,n02672831,n01775062,n02108915,n07873807,n04371774,n01774384,n02113023,n03595614,n02804414,n02085782,n03630383,n01694178,n01748264,n02092002,n03425413,n02086910,n07718747,n04347754,n03954731,n03916031,n04037443,n02108422
n02027492,n02113799,n02490219,n07693725,n03980874,n02115641,n07697537,n02655020,n02319095,n06794110,n03467068,n02096437,n02093859,n01873310,n02492035,n03868242,n03623198,n03775071,n03874599,n02667093,n03584829,n01692333,n02835271,n03902125,n04483307,n01631663,n02106550,n02120505,n04086273,n03929660,n04523525,n03825788,n03998194,n04141327,n01751748,n02088094,n03977966,n03126707,n01943899,n04509417,n04612504,n01978287,n02927161,n03670208,n03478589,n03527444,n03201208,n07753592,n09472597,n01855672
n02791124,n01608432,n02325366,n03937543,n01695060,n02106662,n01877812,n02088364,n02097298,n03131574,n02097209,n04584207,n03840681,n02481823,n02100877,n02444819,n04398044,n01688243,n02091134,n04552348,n02105056,n02396427,n03804744,n04201297,n04579145,n03538406,n02114367,n02397096,n07718472,n02009229,n02093754,n02091244,n03837869,n04501370,n03584254,n03935335,n01984695,n03676483,n02788148,n03492542,n04229816,n02110627,n02091032,n02112706,n02100583,n01677366,n02100735,n02487347,n03133878,n03938244
n02268443,n04204347,n01784675,n01514668,n02106166,n04604644,n04589890,n03794056,n07880968,n02408429,n02107574,n01734418,n02483362,n02111500,n02085936,n02099712,n03594945,n02099849,n03100240,n03983396,n02256656,n03680355,n04462240,n04200800,n03062245,n02823428,n02930766,n02219486,n03929855,n04005630,n04456115,n03891251,n03272010,n01770081,n02321529,n03482405,n02090379,n01776313,n04070727,n04040759,n03787032,n02099429,n03014705,n03028079,n01685808,n03032252,n01742172,n02730930,n01496331,n04258138
